,起飞机场坐标,降落机场坐标,飞行路径
21,"(121.81, 31.15)","(103.61, 36.51)","[[(121.81, 31.15), (120.73, 32.17), (119.76, 32.25), (118.81, 31.99), (118.1, 31.72), (117.3, 31.78), (114.65, 33.66), (108.85, 34.22), (108.71, 34.76), (107.69, 35.51), (107.6, 35.8), (104.74, 36.4), (103.61, 36.51)]]"
22,"(113.29, 23.4)","(106.6, 29.73)","[[(113.29, 23.4), (113.42, 24.19), (110.78, 24.67), (108.4, 26.1), (106.78, 26.79), (106.66, 29.05), (106.6, 29.73)], [(113.29, 23.4), (113.42, 24.19), (110.78, 24.67), (108.4, 26.1), (106.66, 29.05), (106.6, 29.73)], [(113.29, 23.4), (113.42, 24.19), (108.4, 26.1), (106.66, 29.05), (106.6, 29.73)], [(113.29, 23.4), (113.42, 24.19), (109.6, 30.29), (108.43, 30.81), (106.6, 29.73)]]"
23,"(121.36, 37.4)","(117.39, 39.18)","[[(121.36, 37.4), (120.54, 37.65), (119.53, 38.11), (118.03, 38.59), (117.39, 39.18)]]"
24,"(103.94, 30.58)","(103.61, 36.51)","[[(103.94, 30.58), (104.38, 31.25), (104.15, 35.78), (103.61, 36.51)]]"
25,"(111.87, 40.82)","(108.6, 34.43)","[[(111.87, 40.82), (111.84, 39.99), (109.14, 35.85), (108.6, 34.43)]]"
26,"(110.05, 25.2)","(110.05, 25.2)","[[(110.05, 25.2), (110.05, 25.2)]]"
27,"(118.12, 24.52)","(114.2, 30.81)","[[(118.12, 24.52), (117.98, 26.54), (115.75, 29.33), (115.27, 30.44), (114.2, 30.81)], [(118.12, 24.52), (117.98, 26.54), (115.27, 30.44), (114.2, 30.81)]]"
28,"(121.81, 31.15)","(110.46, 19.92)","[[(121.81, 31.15), (120.43, 30.9), (114.88, 25.81), (113.86, 23.51), (113.56, 22.53), (113.47, 22.22), (111.83, 21.57), (111.06, 20.95), (110.84, 20.5), (110.46, 19.92)]]"
29,"(121.53, 38.96)","(117.21, 36.83)","[[(121.53, 38.96), (120.72, 38.25), (120.54, 37.65), (118.22, 37.46), (117.21, 36.83)]]"
30,"(114.44, 36.58)","(121.53, 38.96)","[[(114.44, 36.58), (114.92, 36.36), (120.54, 37.65), (120.99, 38.25), (121.53, 38.96)]]"
31,"(97.1, 30.56)","(106.6, 29.73)","[[(97.1, 30.56), (97.14, 30.52), (101.53, 30.16), (101.9, 30.78), (104.49, 30.61), (105.0, 30.85), (106.19, 30.81), (106.76, 30.29), (106.6, 29.73)]]"
32,"(121.32, 31.2)","(111.87, 40.82)","[[(121.32, 31.2), (120.73, 32.17), (119.76, 32.25), (118.81, 31.99), (118.1, 31.72), (117.3, 31.78), (112.2, 39.49), (111.87, 40.82)]]"
33,"(118.83, 31.77)","(102.74, 24.96)","[[(118.83, 31.77), (118.09, 31.79), (117.3, 31.78), (115.27, 30.44), (114.03, 30.69), (103.9, 25.97), (102.74, 24.96)], [(118.83, 31.77), (117.3, 31.78), (115.27, 30.44), (114.03, 30.69), (103.9, 25.97), (102.74, 24.96)]]"
34,"(113.29, 23.4)","(110.46, 19.92)","[[(113.29, 23.4), (113.33, 22.62), (111.83, 21.57), (111.06, 20.95), (110.84, 20.5), (110.46, 19.92)], [(113.29, 23.4), (113.33, 22.62), (113.47, 22.22), (111.83, 21.57), (111.06, 20.95), (110.84, 20.5), (110.46, 19.92)], [(113.29, 23.4), (113.33, 22.62), (111.83, 21.57), (110.84, 20.5), (110.46, 19.92)]]"
35,"(120.2, 33.41)","(121.53, 38.96)","[[(120.2, 33.41), (120.2, 33.42), (121.41, 33.67), (120.63, 36.93), (120.8, 38.01), (120.99, 38.25), (121.57, 38.96), (121.53, 38.96)], [(120.2, 33.41), (120.2, 33.42), (121.41, 33.67), (120.29, 35.98), (120.63, 36.93), (120.8, 38.01), (120.99, 38.25), (121.57, 38.96), (121.53, 38.96)]]"
36,"(121.32, 31.2)","(118.75, 37.52)","[[(121.32, 31.2), (120.73, 32.17), (119.76, 32.25), (116.93, 37.16), (118.79, 37.53), (118.75, 37.52)]]"
37,"(113.75, 34.56)","(118.56, 24.81)","[[(113.75, 34.56), (114.74, 33.48), (115.44, 32.98), (115.73, 32.88), (117.3, 31.78), (117.98, 26.54), (118.56, 24.81)]]"
38,"(120.43, 30.2)","(113.29, 23.4)","[[(120.43, 30.2), (120.2, 30.12), (119.66, 29.76), (114.88, 25.81), (114.51, 24.31), (114.06, 23.97), (113.29, 23.4)], [(120.43, 30.2), (119.66, 29.76), (114.88, 25.81), (114.51, 24.31), (114.06, 23.97), (113.29, 23.4)], [(120.43, 30.2), (120.2, 30.12), (114.51, 24.31), (114.06, 23.97), (113.29, 23.4)], [(120.43, 30.2), (120.2, 30.12), (119.66, 29.76), (114.51, 24.31), (114.06, 23.97), (113.29, 23.4)], [(120.43, 30.2), (120.2, 30.12), (114.88, 25.81), (114.51, 24.31), (114.06, 23.97), (113.29, 23.4)], [(120.43, 30.2), (120.2, 30.12), (119.66, 29.76), (114.06, 23.97), (113.29, 23.4)]]"
39,"(108.6, 34.43)","(121.53, 38.96)","[[(108.6, 34.43), (109.38, 35.78), (116.57, 39.19), (119.96, 38.66), (120.52, 38.47), (121.53, 38.96)]]"
40,"(117.21, 36.83)","(106.6, 29.73)","[[(117.21, 36.83), (115.4, 36.56), (109.93, 33.88), (109.58, 33.76), (108.31, 33.32), (107.39, 31.37), (106.76, 30.29), (106.6, 29.73)], [(117.21, 36.83), (115.4, 36.56), (109.93, 33.88), (108.31, 33.32), (107.39, 31.37), (106.76, 30.29), (106.6, 29.73)]]"
41,"(111.3, 30.71)","(117.39, 39.18)","[[(111.3, 30.71), (111.48, 30.56), (112.14, 31.4), (112.58, 35.2), (113.4, 35.61), (112.66, 37.62), (115.22, 38.61), (116.09, 38.66), (117.39, 39.18)], [(111.3, 30.71), (111.48, 30.56), (112.14, 31.4), (112.58, 35.2), (115.22, 38.61), (116.09, 38.66), (117.39, 39.18)]]"
42,"(117.21, 36.83)","(106.54, 38.34)","[[(117.21, 36.83), (115.4, 36.56), (113.4, 35.61), (112.62, 37.75), (112.35, 37.77), (110.66, 37.93), (107.43, 39.17), (106.11, 38.43), (106.41, 38.35), (106.54, 38.34)]]"
43,"(122.53, 43.58)","(121.36, 37.4)","[[(122.53, 43.58), (122.2, 43.56), (123.2, 43.61), (122.33, 38.9), (121.57, 38.96), (120.57, 38.02), (121.36, 37.4)]]"
